sample_id,dataset,model_key,model_id,question,ground_truth,predicted_answer,is_correct,explanation,answer_explanation_consistent,faithfulness_score,logical_consistency_score,completeness_score,failure_category,annotator_notes
commonsense_qa_0030,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,If you are prone to postpone work what will you have to do in order to finish on time?,B. hasten,B,True,"To finish work on time, one needs to hasten, which means to do something quickly or to speed up the process.",,,,,,
commonsense_qa_0646,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What is a person who is good at sports considered?,C. talented,C,True,A person who is good at sports is typically considered talented.,,,,,,
commonsense_qa_0129,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where could you find hundreds of thousands of home?,D. city or town,D,True,"A city or town typically has hundreds of thousands of homes, making it a suitable location to find such a large number of residences.",,,,,,
commonsense_qa_0613,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Why would you take a bus to work?,A. commute,A,True,To get to work.,,,,,,
commonsense_qa_0666,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where is there a telephone book in almost every room?,A. at hotel,B. house,False,"A telephone book is typically found in a house, as it is a common household item used for directory assistance and contact information.",,,,,,
commonsense_qa_1078,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The merchant wanted to open in a high-traffic space, where did he rent space?",A. mall,A,True,"A mall is a high-traffic space, making it an ideal location for a merchant to rent space.",,,,,,
commonsense_qa_0222,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The car was going from Alabama to New York, what was its goal?",A. head north,C,False,"The direction ""heading north"" is the most accurate option as it indicates the direction the car is moving, which is from Alabama to New York, a general direction north.",,,,,,
commonsense_qa_0184,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What kind of status is the bald eagle given?,C. protection,C,True,"The bald eagle is a protected species in the United States, specifically under the Bald and Golden Eagle Protection Act of 1940 and the Migratory Bird Treaty Act of 1918.",,,,,,
commonsense_qa_0702,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?",D. time,B,False,"The word ""waiting"" is the correct answer because the sentence states ""they had been standing in queue for a long time"", indicating that they were waiting for a long period of time.",,,,,,
commonsense_qa_1015,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The weasel ran up away from danger, somebody joked only our first president could get him down from the what?",D. cherry tree,D,True,"This is a reference to the famous legend about George Washington chopping down a cherry tree as a child, which is often used to illustrate his honesty.",,,,,,
commonsense_qa_0361,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,How can a human cross a river and not mess up their hair?,D. bridge,D,True,"A bridge provides a stable and secure crossing point over the river, allowing individuals to traverse without having to get wet, thereby minimizing the risk of messing up their hair.",,,,,,
commonsense_qa_0906,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Human beings learn about current events from what print item?,C. read newspapers,C,True,"Newspapers are a common source of information about current events, providing readers with up-to-date news and updates on various topics.",,,,,,
commonsense_qa_0309,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?",E. violent,E,True,"The question states that Billy's mother is concerned about the sport, implying that she may have negative feelings towards it. Option E, ""violent"", is the most likely choice as it is a common concern associated with football.",True,,,,,
commonsense_qa_0841,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Metal is taken from what which is pulled from the ground?,C. ore,C,True,"Metal is taken from ore, which is a naturally occurring mineral substance that contains one or more metals.",,,,,,
commonsense_qa_0020,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What could go on top of wood?,D. carpet,D,True,"Carpet is a material that can be placed on top of wood, such as a wooden floor.",,,,,,
commonsense_qa_1061,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where can a student learn to play a triangle?,E. music class,E,True,"A music class is where a student can learn to play a triangle, as it is a musical instrument.",,,,,,
commonsense_qa_0768,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What would a person need to do if his or her captain dies at sea?,E. man crew,E,True,The person would need to take over as the captain to ensure the safe navigation and operation of the ship.,,,,,,
commonsense_qa_0232,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where is a ferret unlikely to be?,A. classroom,D,False,"Ferrets are not native to North Carolina, making it an unlikely location for them.",,,,,,
commonsense_qa_0429,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where do you keep musical instrument so it doesn't get scratched?,C. case,C,True,"A case is typically used to store and protect musical instruments, preventing damage from scratches and other forms of wear and tear.",,,,,,
commonsense_qa_0080,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?",B. walk,B,True,"George could still walk despite having no car, as the question states ""but he still had his two feet"".",,,,,,
commonsense_qa_0100,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,I did not need a servant.  I was not a what?,B. rich person,B,True,"The statement ""I did not need a servant"" implies that the speaker does not require assistance or support, which is more likely to be associated with someone who is not rich.",,,,,,
commonsense_qa_0238,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,The teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?,C. classroom,C,True,"A ferret is a small animal that requires specialized care and housing, making it unsuitable for a typical classroom environment.",,,,,,
commonsense_qa_0699,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,If you spend a long time running after a ball how are you likely to feel?,E. tiredness,D,False,"Running for a long time would cause physical exertion, leading to increased heart rate and breathing rate, resulting in heavy breathing.",,,,,,
commonsense_qa_0614,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"If you are hungry and going fishing, why would you be going fishing?",C. catching fish,C,True,To satisfy hunger.,,,,,,
commonsense_qa_0962,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"They had to know where to go, they got on the national highway after consulting the what?",B. atlas,B. atlas,True,"An atlas is a detailed map that provides geographical information, making it a suitable resource for determining directions and locations.",,,,,,
commonsense_qa_0457,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What is it called when a person tends to leave things to the last minute?,A. procrastinate,A,True,"This is a characteristic of procrastination, where a person consistently delays tasks until the last minute.",,,,,,
commonsense_qa_0757,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"I want to see a prepared slide up close, what would I use to help?",A. microscope,C,False,"To see a prepared slide up close, you would use glasses to magnify the details of the slide.",,,,,,
commonsense_qa_0558,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What must a student in engineering do?,C. do mathematics,E,False,"To pursue a career in engineering, a student must begin to study the fundamental principles and concepts of engineering, such as mathematics, physics, and computer science, to prepare themselves for the rigorous academic and practical demands of the field.",,,,,,
commonsense_qa_0307,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where is a broadcast studio likely to be heard?,C. radio station,C,True,"A broadcast studio is typically associated with a radio station, where audio signals are transmitted to a wide audience.",,,,,,
commonsense_qa_0173,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"Bill puts meat on the scale, where does Bill work?",D. butcher shop,D,True,"The word ""meat"" is associated with food, and a butcher is a person who sells meat, so it is likely that Bill works in a place related to meat.",,,,,,
commonsense_qa_0127,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?",B. floor,D,False,"The kitten had no surface to dig its claws into, so it slid across the carpet.",,,,,,
commonsense_qa_0880,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,You should watch out for snakes if floating down what African body of water?,D. amazon river,D,True,"The Amazon River is a large body of water in Africa, making it a suitable location to watch out for snakes.",,,,,,
commonsense_qa_0942,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,what is printed with ink and distributed daily?,C. newspaper,C,True,Newspaper is typically printed with ink and distributed daily.,,,,,,
commonsense_qa_0767,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The couple explained they were having trouble communicating, it seemed every conversation took great what?",B. effort,B,True,"The word ""effort"" best describes the concept of putting in a great deal of energy and concentration to have a conversation, which is the context of the sentence.",,,,,,
commonsense_qa_1115,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where might a mouse be found to make it country?,D. old barn,D,True,"Mice are often found in rural or countryside areas, so an old barn would be a suitable place for a mouse to make its home.",,,,,,
commonsense_qa_0796,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where is a likely place for an ivy plant?,D. outside,C,False,"An ivy plant typically thrives in a location with bright, indirect sunlight and moderate temperatures, making a windowsill an ideal spot for it to grow.",,,,,,
commonsense_qa_1062,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What do you need to do to use television if it is already turned on?,B. open eyes,E,False,"To use television that is already turned on, you need to do nothing, as it is already operational.",,,,,,
commonsense_qa_1128,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"Billy was an astronaut.  When he looked at the world from space, how did it look?",B. round,B,True,The Earth appears as a sphere from space due to its spherical shape.,,,,,,
commonsense_qa_0632,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,A person would join a trade school for finding information related to what?,D. gaining knowledge,D. gaining knowledge,True,"A person would join a trade school to gain practical skills and knowledge in a specific trade or profession, such as a trade or technical skill.",,,,,,
commonsense_qa_1189,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What happens when driving?,C. wheels turning,C,True,"When driving, the primary function of the vehicle is to move, and one of the key actions that enables this movement is the turning of the wheels.",,,,,,
commonsense_qa_0914,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?",D. fitness center,D,True,"A fitness center is a common place for people to warm up before exercising, especially weightlifting.",,,,,,
commonsense_qa_0653,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"If my husband never helps me doing housework, what might that lead to?",B. arguments,B,True,"Sharing household responsibilities is a fundamental aspect of a relationship, and not contributing to these tasks can lead to feelings of resentment and frustration, ultimately resulting in arguments between partners.",,,,,,
commonsense_qa_0343,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What geographic area is a lizard likely to be?,B. west texas,C,False,"Lizards are typically found in warm and dry environments, making arid regions a likely habitat.",,,,,,
commonsense_qa_0839,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What can a newspaper be used to do to an engagement?,A. announce,A. announce,True,"A newspaper can be used to announce an engagement, as it is a traditional medium for sharing personal news and events, including engagements.",,,,,,
commonsense_qa_0116,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"Sailors drive many different types of boats, what type of boat involves their namesake.",E. sail boat,E,True,Sailors drive sail boats.,,,,,,
commonsense_qa_1036,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,How does someone go about buying beer?,E. spend money,E. spend money,True,"To buy beer, one typically needs to have the financial means to purchase it, which involves spending money.",,,,,,
commonsense_qa_1003,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where would using a boat not require navigation skills?,E. river,C,False,"A garage is a land-based structure, so using a boat there would not require navigation skills.",,,,,,
commonsense_qa_0674,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The man often made smart remarks, like that any restaurant is a mexican restaurant where?",E. mexico,E,True,"The phrase ""any restaurant is a Mexican restaurant where"" suggests that the speaker is referring to a place that is so Mexican that it could be mistaken for a Mexican restaurant, implying Mexico.",,,,,,
commonsense_qa_0060,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,If you are in a bar in a glove shaped state where are you?,B. michigan,E,False,"A ""bar"" is a common term for a public house or tavern, which is a type of establishment where people gather to socialize and drink.",,,,,,
commonsense_qa_0819,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,The planet Mercury is unsuitable for human life or what?,B. uninhabitable,B,True,"Mercury is unsuitable for human life due to its extremely high temperatures and lack of atmosphere, making it uninhabitable.",,,,,,
commonsense_qa_0845,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Many homes in this country are built around a courtyard. Where is it?,B. spain,B,True,"The country where many homes are built around a courtyard is often associated with Mediterranean architecture, and Spain is a country known for its traditional courtyards, particularly in its cities like Seville and Granada.",,,,,,
commonsense_qa_0171,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"When you get together with friends to watch film, you might do plenty of this?",D. have fun,D,True,"Watching a film with friends is typically a social activity that is meant to be enjoyable and entertaining, implying that the primary purpose is to have fun.",,,,,,
commonsense_qa_1160,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"I am cold, what should I do to stay warm?",B. light fire,B. light fire,True,"Lighting a fire can provide warmth and heat, helping to counteract the feeling of being cold.",,,,,,
commonsense_qa_0135,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The tourist entered Mammoth cave, what state were they in?",B. kentucky,B,True,"Mammoth Cave is a famous cave system located in Kentucky, USA.",,,,,,
commonsense_qa_0588,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What is the sun ultimately responsible for?,D. life on earth,D,True,"The sun is the ultimate source of energy that supports life on Earth, providing the necessary warmth, light, and energy for photosynthesis, which is essential for plant growth and ultimately, the food chain.",,,,,,
commonsense_qa_0077,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where would you expect to find white mice?,E. laboratory,C,False,"Mice are often found in dark, hidden areas, and attics provide such conditions, making it a likely place to find them.",,,,,,
commonsense_qa_0748,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"A thoroughfare meandered through fields and woods, where was it passing though?",C. country,C,True,"The word ""thoroughfare"" implies a main road or path, which is more commonly associated with rural or countryside areas, making ""country"" the most suitable option.",,,,,,
commonsense_qa_0954,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where are sheep likely to live?,D. farm,D,True,"Sheep are commonly found on farms, where they are raised for their wool, milk, and meat.",,,,,,
commonsense_qa_0795,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"The business men left the discussion in the dressing room, now they just wanted to relax in the sauna of the what?",E. bathhouse,E,True,"The context of the sentence suggests a social setting where men are discussing business, and then they want to relax, which is typically associated with a sauna, a common feature in bathhouses.",,,,,,
commonsense_qa_0069,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,What continent has the most castles?,D. europe,D,True,"Europe is home to a large number of castles, with many countries such as Germany, England, and Scotland having numerous castles throughout their histories.",,,,,,
commonsense_qa_0379,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,"You stop and have food all around you, what are you?",E. full,E,True,"The correct answer is ""full"" because the question states ""You stop and have food all around you"", implying that you have consumed food and are now satisfied, which is the definition of being full.",,,,,,
commonsense_qa_0530,commonsense_qa,llama_3_2_3b,meta-llama/Llama-3.2-3B-Instruct,Where is a good place to put a hamburger?,C. mouth,B,False,A fast food restaurant is a common place to buy hamburgers.,,,,,,
