model_key,failure_category,count,percentage
deepseek_r1_qwen_1_5b,answer_explanation_mismatch,2,6.67
deepseek_r1_qwen_1_5b,arithmetic_error,1,3.33
deepseek_r1_qwen_1_5b,factual_hallucination,1,3.33
deepseek_r1_qwen_1_5b,incomplete_reasoning,2,6.67
deepseek_r1_qwen_1_5b,instruction_following_failure,2,6.67
deepseek_r1_qwen_1_5b,logical_error,4,13.33
deepseek_r1_qwen_1_5b,none,12,40.0
deepseek_r1_qwen_1_5b,other,1,3.33
deepseek_r1_qwen_1_5b,unsupported_justification,5,16.67
llama_3_2_3b,answer_explanation_mismatch,4,13.33
llama_3_2_3b,arithmetic_error,1,3.33
llama_3_2_3b,contradictory_explanation,1,3.33
llama_3_2_3b,factual_hallucination,4,13.33
llama_3_2_3b,incomplete_reasoning,1,3.33
llama_3_2_3b,logical_error,1,3.33
llama_3_2_3b,none,12,40.0
llama_3_2_3b,unsupported_justification,6,20.0
qwen_2_5_3b,answer_explanation_mismatch,4,13.33
qwen_2_5_3b,arithmetic_error,1,3.33
qwen_2_5_3b,contradictory_explanation,2,6.67
qwen_2_5_3b,factual_hallucination,3,10.0
qwen_2_5_3b,logical_error,4,13.33
qwen_2_5_3b,none,13,43.33
qwen_2_5_3b,other,1,3.33
qwen_2_5_3b,unsupported_justification,2,6.67
