sample_id,dataset,model_key,model_id,question,ground_truth,predicted_answer,is_correct,explanation,answer_explanation_consistent,faithfulness_score,logical_consistency_score,completeness_score,failure_category,annotator_notes
commonsense_qa_0030,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,If you are prone to postpone work what will you have to do in order to finish on time?,B. hasten,D. bring forward,False,"Bringing forward means to move something forward in time, which is necessary if someone is prone to postponing work to ensure it is completed by the deadline.",,,,,,
commonsense_qa_0646,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,What is a person who is good at sports considered?,C. talented,C. talented,True,"Being good at sports indicates a skill and ability, which aligns with being talented.",,,,,,
commonsense_qa_0129,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Where could you find hundreds of thousands of home?,D. city or town,D. city or town,True,"Cities and towns typically have a large number of residential homes, often in the range of hundreds of thousands. Fields and neighborhoods usually have fewer homes. Stars cannot contain homes as they are celestial bodies. Apartment buildings may house hundreds of thousands of people but are less likely to have that many individual homes compared to a city or town.",,,,,,
commonsense_qa_0613,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Why would you take a bus to work?,A. commute,C. get somewhere,False,"Taking a bus to work is a common way to get to a workplace, which directly answers the question of ""why"" someone might choose to take a bus.",,,,,,
commonsense_qa_0666,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Where is there a telephone book in almost every room?,A. at hotel,B. house,False,"In a typical house, it's common to find a telephone book in the living room or main entrance area where visitors might need to look up information. This practice is less common in other options like hotels (where guests usually have access to internet for quick lookups), libraries (which often don forget telephone books as they are digitalized), bedsits (which are more likely to be furnished with modern technology), and closets (which are not typically used for storing telephone books).",,,,,,
commonsense_qa_1078,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,"The merchant wanted to open in a high-traffic space, where did he rent space?",A. mall,A. mall,True,"Malls typically have high foot traffic due to their location at the center of shopping districts, making them ideal for merchants looking to attract many customers.",,,,,,
commonsense_qa_0222,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,"The car was going from Alabama to New York, what was its goal?",A. head north,C. heading north,False,"The car is traveling from Alabama (located in the southeastern United States) to New York (located in the northeastern United States), which means it is moving northward.",,,,,,
commonsense_qa_0184,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,What kind of status is the bald eagle given?,C. protection,C. protection,True,"The bald eagle is protected under various laws and regulations, including the Bald and Golden Eagle Protection Act and the Migratory Bird Treaty Act in the United States.",,,,,,
commonsense_qa_0702,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?",D. time,D. time,True,"The phrase ""long queue"" implies that the person has been waiting for an extended period of time.",,,,,,
commonsense_qa_1015,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,"The weasel ran up away from danger, somebody joked only our first president could get him down from the what?",D. cherry tree,D. cherry tree,True,"The joke ""Only our first president could get him down from the cherry tree"" refers to George Washington and his alleged honesty about cutting down a cherry tree as a young boy. This makes it the most logical answer among the given options.",,,,,,
commonsense_qa_0361,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,How can a human cross a river and not mess up their hair?,D. bridge,D. bridge,True,"A bridge is the most logical and practical way for a human to cross a river without messing up their hair, as it allows them to do so efficiently and without getting wet or dirty.",,,,,,
commonsense_qa_0906,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Human beings learn about current events from what print item?,C. read newspapers,C. read newspapers,True,"Newspapers are commonly used as a source of information about current events, providing news articles, headlines, and other updates to readers.",,,,,,
commonsense_qa_0309,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?",E. violent,,False,"Billy's mother is likely concerned about the violent aspects of football, which can lead to injuries and aggressive behavior, especially if her concerns are based on real-life observations or media portrayals of the sport.",,,,,,
commonsense_qa_0841,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Metal is taken from what which is pulled from the ground?,C. ore,C. ore,True,"Metal ores are extracted from the ground, and metal is then refined from these ores.",,,,,,
commonsense_qa_0020,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,What could go on top of wood?,D. carpet,D. carpet,True,"Carpets are commonly placed on top of wood surfaces, such as floors or furniture made from wood.",,,,,,
commonsense_qa_1061,commonsense_qa,qwen_2_5_3b,Qwen/Qwen2.5-3B-Instruct,Where can a student learn to play a triangle?,E. music class,D. orchestra,False,"Orchestras often include instruments that require players to hold triangles, such as the triangle (also known as the triangleette or cymbal triangle). Students typically learn to play these instruments in an orchestra setting.",,,,,,
