sample_id,dataset,model_key,model_id,question,ground_truth,predicted_answer,is_correct,explanation,answer_explanation_consistent,faithfulness_score,logical_consistency_score,completeness_score,failure_category,annotator_notes
commonsense_qa_0030,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,If you are prone to postpone work what will you have to do in order to finish on time?,B. hasten,B,True,"The person is prone to delaying work, so to finish on time, they need to make the task seem more urgent by hastening it.",,,,,,
commonsense_qa_0646,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,What is a person who is good at sports considered?,C. talented,C,True,"C. Talented, because being good at sports implies a certain level of skill or ability, which is what ""talented"" refers to.",,,,,,
commonsense_qa_0129,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Where could you find hundreds of thousands of home?,D. city or town,C,False,"C is a city or town, where you can find homes.",,,,,,
commonsense_qa_0613,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Why would you take a bus to work?,A. commute,A,True,A. commute,,,,,,
commonsense_qa_0666,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Where is there a telephone book in almost every room?,A. at hotel,B,False,"The house is the most common place where telephone books are found, making it the answer to the question.",,,,,,
commonsense_qa_1078,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"The merchant wanted to open in a high-traffic space, where did he rent space?",A. mall,A,True,"The merchant should rent his space in a mall, as it is the most likely high-traffic location with sufficient foot traffic for a merchant.",,,,,,
commonsense_qa_0222,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"The car was going from Alabama to New York, what was its goal?",A. head north,,False,,,,,,,
commonsense_qa_0184,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,What kind of status is the bald eagle given?,C. protection,E,False,"The bald eagle is found in North America, so the status is America.",,,,,,
commonsense_qa_0702,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?",D. time,,False,,,,,,,
commonsense_qa_1015,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"The weasel ran up away from danger, somebody joked only our first president could get him down from the what?",D. cherry tree,A,False,"The first president, George Washington, was associated with Washington DC. Therefore, the answer is A, Washington DC.",True,,,,,
commonsense_qa_0361,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,How can a human cross a river and not mess up their hair?,D. bridge,A,False,Crossing a bridge is a common method to cross a river without hair issues.,,,,,,
commonsense_qa_0906,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Human beings learn about current events from what print item?,C. read newspapers,C,True,"C. Read Newspapers is the correct answer because newspapers provide localized and current information, making them a direct print item used to learn about current events.",,,,,,
commonsense_qa_0309,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?",E. violent,B,False,"The mother would think of football as ""fun,"" indicating that it is enjoyable or engaging.",,,,,,
commonsense_qa_0841,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Metal is taken from what which is pulled from the ground?,C. ore,C,True,"Metal is typically pulled from ores, which are found in places like gold or iron mines. Ore is option C.",True,,,,,
commonsense_qa_0020,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,What could go on top of wood?,D. carpet,,False,,,,,,,
commonsense_qa_1061,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Where can a student learn to play a triangle?,E. music class,E,True,"The student would learn to play a triangle in the orchestra, which is a music class where students practice playing various instruments, including triangles.",,,,,,
commonsense_qa_0768,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,What would a person need to do if his or her captain dies at sea?,E. man crew,E,True,"The person would need to rely on their crew to continue the journey, hence option E, man crew.",True,,,,,
commonsense_qa_0232,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Where is a ferret unlikely to be?,A. classroom,,False,,,,,,,
commonsense_qa_0429,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Where do you keep musical instrument so it doesn't get scratched?,C. case,D,False,"Keeping the musical instrument in the music room provides a controlled environment, preventing scratching due to the safe and enclosed space.",,,,,,
commonsense_qa_0080,commonsense_qa,deepseek_r1_qwen_1_5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?",B. walk,B,True,"George has two feet, which is typical for walking. His socks and soles being smelly and blistered doesn't hinder his ability to walk. Therefore, the best answer is B. walk.",True,,,,,
