model_key,failure_category,count
deepseek_r1_qwen_1_5b,answer_explanation_mismatch,2
deepseek_r1_qwen_1_5b,arithmetic_error,1
deepseek_r1_qwen_1_5b,factual_hallucination,1
deepseek_r1_qwen_1_5b,incomplete_reasoning,2
deepseek_r1_qwen_1_5b,instruction_following_failure,2
deepseek_r1_qwen_1_5b,logical_error,4
deepseek_r1_qwen_1_5b,none,12
deepseek_r1_qwen_1_5b,other,1
deepseek_r1_qwen_1_5b,unsupported_justification,5
llama_3_2_3b,answer_explanation_mismatch,4
llama_3_2_3b,arithmetic_error,1
llama_3_2_3b,contradictory_explanation,1
llama_3_2_3b,factual_hallucination,4
llama_3_2_3b,incomplete_reasoning,1
llama_3_2_3b,logical_error,1
llama_3_2_3b,none,12
llama_3_2_3b,unsupported_justification,6
qwen_2_5_3b,answer_explanation_mismatch,4
qwen_2_5_3b,arithmetic_error,1
qwen_2_5_3b,contradictory_explanation,2
qwen_2_5_3b,factual_hallucination,3
qwen_2_5_3b,logical_error,4
qwen_2_5_3b,none,13
qwen_2_5_3b,other,1
qwen_2_5_3b,unsupported_justification,2
